"Nr.";"Name";"Wahberechtigte";"abgegebeneStimmen";"Wahlbeteiligung in p";"ungueltigeStimmen";"Ungueltige in p";"gueltigeStimmen";"Gueltige in p";" OEVP ";"OEVPp";" SPOE ";"SPOEp";" GRUENE ";"GRUENEp";" FPOE ";"FPOEp";" BZOE ";"BZOEp";" DCOOE ";"DCOOEp";" KPOE ";"KPOEp";"Stimmen";" Ant. % ";"DatumErst";"ZeitErst";"DatumLetzt";"ZeitLetzt"
40619;"Schönau im Mühlkreis          ";1517;1334;87.94;15;1.12;1319;98.88;798;60.5;231;17.51;71;5.38;184;13.95;33;2.5;0;0;2;0.15;" 0 ";" 0 ";27/09/2009;5:34:28 PM;27/09/2009;5:34:28 PM
40620;"Tragwein                      ";2462;2243;91.1;28;1.25;2215;98.75;1137;51.33;679;30.65;148;6.68;205;9.26;24;1.08;9;0.41;13;0.59;" 0 ";" 0 ";27/09/2009;6:08:12 PM;27/09/2009;6:08:12 PM
40621;"Unterweißenbach               ";1922;1616;84.08;28;1.73;1588;98.27;999;62.91;242;15.24;86;5.42;215;13.54;32;2.02;10;0.63;4;0.25;" 0 ";" 0 ";27/09/2009;6:28:57 PM;27/09/2009;8:41:03 PM
40622;"Unterweitersdorf              ";1537;1424;92.65;26;1.83;1398;98.17;646;46.21;422;30.19;123;8.8;161;11.52;33;2.36;7;0.5;6;0.43;" 0 ";" 0 ";27/09/2009;5:39:52 PM;27/09/2009;5:39:52 PM
40623;"Waldburg                      ";1075;936;87.07;15;1.6;921;98.4;520;56.46;195;21.17;82;8.9;96;10.42;23;2.5;3;0.33;2;0.22;" 0 ";" 0 ";27/09/2009;5:35:01 PM;27/09/2009;5:35:01 PM
40624;"Wartberg ob der Aist          ";3272;2845;86.95;69;2.43;2776;97.57;1198;43.16;797;28.71;302;10.88;360;12.97;96;3.46;6;0.22;17;0.61;" 0 ";" 0 ";27/09/2009;8:11:12 PM;27/09/2009;8:11:12 PM
40625;"Weitersfelden                 ";868;790;91.01;10;1.27;780;98.73;488;62.56;154;19.74;46;5.9;71;9.1;12;1.54;7;0.9;2;0.26;" 0 ";" 0 ";27/09/2009;5:45:37 PM;27/09/2009;5:45:37 PM
40626;"Windhaag bei Freistadt        ";1289;1139;88.36;17;1.49;1122;98.51;668;59.54;208;18.54;70;6.24;146;13.01;20;1.78;3;0.27;7;0.62;" 0 ";" 0 ";27/09/2009;5:33:56 PM;27/09/2009;5:33:56 PM
40627;"Bad Zell                      ";2178;1935;88.84;27;1.4;1908;98.6;1126;59.01;289;15.15;237;12.42;205;10.74;37;1.94;6;0.31;8;0.42;" 0 ";" 0 ";27/09/2009;4:22:25 PM;27/09/2009;4:22:25 PM
40700;"Bezirk Gmunden                       ";78031;62691;80.34;1291;2.06;61400;97.94;28508;46.43;16875;27.48;5651;9.2;7879;12.83;1762;2.87;330;0.54;395;0.64;" 0 ";" 0 ";27/09/2009;8:29:38 PM;27/09/2009;9:52:41 PM
40701;"Altmünster                    ";7710;6314;81.89;141;2.23;6173;97.77;3167;51.3;1379;22.34;672;10.89;726;11.76;168;2.72;33;0.53;28;0.45;" 0 ";" 0 ";27/09/2009;5:46:49 PM;27/09/2009;8:40:48 PM
40702;"Bad Goisern                   ";5960;4619;77.5;160;3.46;4459;96.54;1560;34.99;1736;38.93;261;5.85;548;12.29;243;5.45;66;1.48;45;1.01;" 0 ";" 0 ";27/09/2009;6:27:00 PM;27/09/2009;6:27:00 PM
40703;"Bad Ischl                     ";10919;8318;76.18;168;2.02;8150;97.98;4054;49.74;2108;25.87;752;9.23;955;11.72;189;2.32;22;0.27;70;0.86;" 0 ";" 0 ";27/09/2009;6:25:05 PM;27/09/2009;6:25:05 PM
40704;"Ebensee                       ";6510;5232;80.37;127;2.43;5105;97.57;2059;40.33;1846;36.16;432;8.46;537;10.52;162;3.17;17;0.33;52;1.02;" 0 ";" 0 ";27/09/2009;7:05:01 PM;27/09/2009;7:05:01 PM
40705;"Gmunden                       ";10070;7824;77.7;142;1.81;7682;98.19;3957;51.51;1451;18.89;1070;13.93;912;11.87;213;2.77;39;0.51;40;0.52;" 0 ";" 0 ";27/09/2009;6:13:51 PM;27/09/2009;6:13:51 PM
40706;"Gosau                         ";1541;1244;80.73;23;1.85;1221;98.15;486;39.8;514;42.1;61;5;104;8.52;36;2.95;13;1.06;7;0.57;" 0 ";" 0 ";27/09/2009;5:10:10 PM;27/09/2009;5:10:10 PM
40707;"Grünau im Almtal              ";1626;1444;88.81;40;2.77;1404;97.23;643;45.8;374;26.64;115;8.19;235;16.74;20;1.42;8;0.57;9;0.64;" 0 ";" 0 ";27/09/2009;4:45:30 PM;27/09/2009;4:45:30 PM
40708;"Gschwandt                     ";2023;1686;83.34;27;1.6;1659;98.4;830;50.03;347;20.92;178;10.73;244;14.71;35;2.11;17;1.02;8;0.48;" 0 ";" 0 ";27/09/2009;5:18:57 PM;27/09/2009;5:18:57 PM
40709;"Hallstatt                     ";697;591;84.79;8;1.35;583;98.65;188;32.25;273;46.83;69;11.84;27;4.63;17;2.92;1;0.17;8;1.37;" 0 ";" 0 ";27/09/2009;4:58:13 PM;27/09/2009;4:58:13 PM
40710;"Kirchham                      ";1527;1312;85.92;29;2.21;1283;97.79;795;61.96;162;12.63;106;8.26;175;13.64;35;2.73;3;0.23;7;0.55;" 0 ";" 0 ";27/09/2009;4:53:28 PM;27/09/2009;4:53:28 PM
40711;"Laakirchen                    ";6967;5515;79.16;109;1.98;5406;98.02;2106;38.96;1859;34.39;377;6.97;854;15.8;162;3;17;0.31;31;0.57;" 0 ";" 0 ";27/09/2009;5:33:36 PM;27/09/2009;5:33:36 PM
40712;"Obertraun                     ";577;489;84.75;6;1.23;483;98.77;189;39.13;221;45.76;26;5.38;28;5.8;7;1.45;3;0.62;9;1.86;" 0 ";" 0 ";27/09/2009;5:42:58 PM;27/09/2009;5:42:58 PM
40713;"Ohlsdorf                      ";3829;3265;85.27;52;1.59;3213;98.41;1578;49.11;831;25.86;251;7.81;435;13.54;81;2.52;23;0.72;14;0.44;" 0 ";" 0 ";27/09/2009;6:57:30 PM;27/09/2009;6:57:30 PM
40714;"Pinsdorf                      ";2798;2247;80.31;32;1.42;2215;98.58;919;41.49;649;29.3;203;9.16;356;16.07;73;3.3;7;0.32;8;0.36;" 0 ";" 0 ";27/09/2009;4:18:45 PM;27/09/2009;4:18:45 PM
40715;"Roitham                       ";1597;1327;83.09;30;2.26;1297;97.74;605;46.65;322;24.83;102;7.86;223;17.19;31;2.39;5;0.39;9;0.69;" 0 ";" 0 ";27/09/2009;5:23:04 PM;27/09/2009;5:23:04 PM
40716;"St.Konrad                     ";854;759;88.88;9;1.19;750;98.81;421;56.13;156;20.8;66;8.8;75;10;19;2.53;9;1.2;4;0.53;" 0 ";" 0 ";27/09/2009;6:42:29 PM;27/09/2009;6:42:29 PM
40717;"St.Wolfgang im Salzkammergut  ";2163;1739;80.4;26;1.5;1713;98.5;914;53.36;465;27.15;97;5.66;184;10.74;39;2.28;4;0.23;10;0.58;" 0 ";" 0 ";27/09/2009;8:29:38 PM;27/09/2009;8:29:38 PM
40718;"Traunkirchen                  ";1343;1108;82.5;20;1.81;1088;98.19;550;50.55;258;23.71;129;11.86;116;10.66;29;2.67;5;0.46;1;0.09;" 0 ";" 0 ";27/09/2009;6:00:35 PM;27/09/2009;6:00:35 PM
40719;"Scharnstein                   ";3640;3097;85.08;51;1.65;3046;98.35;1439;47.24;819;26.89;266;8.73;424;13.92;67;2.2;15;0.49;16;0.53;" 0 ";" 0 ";27/09/2009;6:40:33 PM;27/09/2009;6:40:33 PM
40720;"Vorchdorf                     ";5680;4561;80.3;91;2;4470;98;2048;45.82;1105;24.72;418;9.35;721;16.13;136;3.04;23;0.51;19;0.43;" 0 ";" 0 ";27/09/2009;5:58:52 PM;27/09/2009;9:52:41 PM
40800;"Bezirk Grieskirchen                  ";49278;41981;85.19;1171;2.79;40810;97.21;21143;51.81;7435;18.22;3595;8.81;7097;17.39;1082;2.65;303;0.74;155;0.38;" 0 ";" 0 ";27/09/2009;5:52:23 PM;27/09/2009;8:19:46 PM
40801;"Aistersheim                   ";640;565;88.28;15;2.65;550;97.35;295;53.64;87;15.82;32;5.82;124;22.55;10;1.82;0;0;2;0.36;" 0 ";" 0 ";27/09/2009;2:27:36 PM;27/09/2009;3:54:39 PM
40802;"Bad Schallerbach              ";2706;2186;80.78;61;2.79;2125;97.21;999;47.01;486;22.87;198;9.32;369;17.36;46;2.16;15;0.71;12;0.56;" 0 ";" 0 ";27/09/2009;4:53:35 PM;27/09/2009;4:53:35 PM
40803;"Bruck-Waasen                  ";1853;1552;83.76;68;4.38;1484;95.62;898;60.51;191;12.87;128;8.63;216;14.56;39;2.63;7;0.47;5;0.34;" 0 ";" 0 ";27/09/2009;4:03:32 PM;27/09/2009;4:03:32 PM
40804;"Eschenau im Hausruckkreis     ";907;788;86.88;54;6.85;734;93.15;483;65.8;75;10.22;32;4.36;122;16.62;16;2.18;4;0.54;2;0.27;" 0 ";" 0 ";27/09/2009;3:07:36 PM;27/09/2009;3:07:36 PM
40805;"Gallspach                     ";1900;1556;81.89;37;2.38;1519;97.62;654;43.05;349;22.98;112;7.37;340;22.38;33;2.17;26;1.71;5;0.33;" 0 ";" 0 ";27/09/2009;4:53:30 PM;27/09/2009;4:53:30 PM
40806;"Gaspoltshofen                 ";2821;2430;86.14;84;3.46;2346;96.54;1078;45.95;412;17.56;236;10.06;561;23.91;39;1.66;9;0.38;11;0.47;" 0 ";" 0 ";27/09/2009;5:37:43 PM;27/09/2009;5:37:43 PM
40807;"Geboltskirchen                ";1120;940;83.93;20;2.13;920;97.87;426;46.3;240;26.09;93;10.11;116;12.61;31;3.37;11;1.2;3;0.33;" 0 ";" 0 ";27/09/2009;4:17:40 PM;27/09/2009;4:17:40 PM
40808;"Grieskirchen                  ";3613;3003;83.12;88;2.93;2915;97.07;1341;46;585;20.07;326;11.18;566;19.42;65;2.23;26;0.89;6;0.21;" 0 ";" 0 ";27/09/2009;5:52:23 PM;27/09/2009;8:19:46 PM
40809;"Haag am Hausruck              ";1636;1430;87.41;32;2.24;1398;97.76;670;47.93;322;23.03;135;9.66;228;16.31;26;1.86;12;0.86;5;0.36;" 0 ";" 0 ";27/09/2009;3:59:29 PM;27/09/2009;3:59:29 PM
40810;"Heiligenberg                  ";540;490;90.74;7;1.43;483;98.57;338;69.98;24;4.97;32;6.63;69;14.29;11;2.28;8;1.66;1;0.21;" 0 ";" 0 ";27/09/2009;1:10:12 PM;27/09/2009;4:17:25 PM
40811;"Hofkirchen an der Trattnach   ";1194;987;82.66;33;3.34;954;96.66;516;54.09;141;14.78;63;6.6;196;20.55;26;2.73;7;0.73;5;0.52;" 0 ";" 0 ";27/09/2009;4:17:35 PM;27/09/2009;4:17:35 PM
40812;"Kallham                       ";2075;1755;84.58;34;1.94;1721;98.06;889;51.66;333;19.35;125;7.26;294;17.08;62;3.6;7;0.41;11;0.64;" 0 ";" 0 ";27/09/2009;3:47:18 PM;27/09/2009;3:47:18 PM
40813;"Kematen am Innbach            ";1020;853;83.63;36;4.22;817;95.78;381;46.63;139;17.01;65;7.96;198;24.24;26;3.18;2;0.24;6;0.73;" 0 ";" 0 ";27/09/2009;4:38:13 PM;27/09/2009;4:38:13 PM
40814;"Meggenhofen                   ";1037;912;87.95;19;2.08;893;97.92;541;60.58;94;10.53;85;9.52;142;15.9;21;2.35;7;0.78;3;0.34;" 0 ";" 0 ";27/09/2009;3:19:44 PM;27/09/2009;3:55:03 PM
40815;"Michaelnbach                  ";1020;863;84.61;18;2.09;845;97.91;548;64.85;84;9.94;62;7.34;116;13.73;29;3.43;6;0.71;0;0;" 0 ";" 0 ";27/09/2009;2:37:10 PM;27/09/2009;2:37:10 PM
40816;"Natternbach                   ";1889;1631;86.34;79;4.84;1552;95.16;806;51.93;350;22.55;90;5.8;244;15.72;44;2.84;7;0.45;11;0.71;" 0 ";" 0 ";27/09/2009;4:03:38 PM;27/09/2009;4:29:33 PM
40817;"Neukirchen am Walde           ";1314;1142;86.91;17;1.49;1125;98.51;696;61.87;147;13.07;78;6.93;132;11.73;58;5.16;10;0.89;4;0.36;" 0 ";" 0 ";27/09/2009;2:55:58 PM;27/09/2009;2:57:14 PM
40818;"Neumarkt im Hausruckkreis     ";1127;922;81.81;27;2.93;895;97.07;414;46.26;217;24.25;49;5.47;191;21.34;18;2.01;3;0.34;3;0.34;" 0 ";" 0 ";27/09/2009;5:27:05 PM;27/09/2009;5:27:05 PM
40819;"Peuerbach                     ";1728;1346;77.89;37;2.75;1309;97.25;713;54.47;202;15.43;150;11.46;185;14.13;41;3.13;16;1.22;2;0.15;" 0 ";" 0 ";27/09/2009;5:06:03 PM;27/09/2009;5:06:03 PM
40820;"Pötting                       ";442;412;93.21;2;0.49;410;99.51;307;74.88;39;9.51;23;5.61;30;7.32;9;2.2;1;0.24;1;0.24;" 0 ";" 0 ";27/09/2009;3:00:38 PM;27/09/2009;3:00:38 PM
40821;"Pollham                       ";744;716;96.24;34;4.75;682;95.25;366;53.67;81;11.88;94;13.78;100;14.66;27;3.96;9;1.32;5;0.73;" 0 ";" 0 ";27/09/2009;4:22:40 PM;27/09/2009;4:22:40 PM
40822;"Pram                          ";1433;1195;83.39;17;1.42;1178;98.58;539;45.76;211;17.91;123;10.44;238;20.2;53;4.5;7;0.59;7;0.59;" 0 ";" 0 ";27/09/2009;3:00:44 PM;27/09/2009;3:00:44 PM
40823;"Rottenbach                    ";843;759;90.04;20;2.64;739;97.36;357;48.31;111;15.02;47;6.36;185;25.03;26;3.52;12;1.62;1;0.14;" 0 ";" 0 ";27/09/2009;3:19:39 PM;27/09/2009;3:19:39 PM
40824;"St.Agatha                     ";1727;1507;87.26;26;1.73;1481;98.27;948;64.01;207;13.98;92;6.21;189;12.76;39;2.63;5;0.34;1;0.07;" 0 ";" 0 ";27/09/2009;5:22:42 PM;27/09/2009;5:22:42 PM
40825;"St.Georgen bei Grieskirchen   ";882;763;86.51;33;4.33;730;95.67;387;53.01;109;14.93;81;11.1;117;16.03;23;3.15;11;1.51;2;0.27;" 0 ";" 0 ";27/09/2009;2:32:01 PM;27/09/2009;2:32:01 PM
40826;"St.Thomas                     ";357;330;92.44;12;3.64;318;96.36;195;61.32;20;6.29;29;9.12;69;21.7;4;1.26;1;0.31;0;0;" 0 ";" 0 ";27/09/2009;1:52:37 PM;27/09/2009;1:52:37 PM
40827;"Schlüßlberg                   ";2350;2092;89.02;41;1.96;2051;98.04;835;40.71;613;29.89;191;9.31;347;16.92;41;2;18;0.88;6;0.29;" 0 ";" 0 ";27/09/2009;5:26:55 PM;27/09/2009;5:26:55 PM
40828;"Steegen                       ";873;698;79.95;19;2.72;679;97.28;387;57;106;15.61;72;10.6;91;13.4;16;2.36;6;0.88;1;0.15;" 0 ";" 0 ";27/09/2009;5:26:47 PM;27/09/2009;5:26:47 PM
40829;"Taufkirchen an der Trattnach  ";1647;1431;86.89;34;2.38;1397;97.62;744;53.26;192;13.74;82;5.87;323;23.12;37;2.65;13;0.93;6;0.43;" 0 ";" 0 ";27/09/2009;5:12:13 PM;27/09/2009;5:12:13 PM
40830;"Tollet                        ";720;644;89.44;13;2.02;631;97.98;311;49.29;120;19.02;94;14.9;85;13.47;8;1.27;10;1.58;3;0.48;" 0 ";" 0 ";27/09/2009;2:37:18 PM;27/09/2009;2:37:18 PM
40831;"Waizenkirchen                 ";2940;2463;83.78;56;2.27;2407;97.73;1376;57.17;406;16.87;239;9.93;293;12.17;68;2.83;16;0.66;9;0.37;" 0 ";" 0 ";27/09/2009;5:22:38 PM;27/09/2009;6:03:16 PM
40832;"Wallern an der Trattnach      ";2303;2007;87.15;59;2.94;1948;97.06;823;42.25;525;26.95;190;9.75;353;18.12;43;2.21;7;0.36;7;0.36;" 0 ";" 0 ";27/09/2009;5:27:00 PM;27/09/2009;5:27:00 PM
40833;"Weibern                       ";1257;1062;84.49;22;2.07;1040;97.93;589;56.63;163;15.67;114;10.96;145;13.94;21;2.02;4;0.38;4;0.38;" 0 ";" 0 ";27/09/2009;4:38:08 PM;27/09/2009;4:38:08 PM
40834;"Wendling                      ";620;551;88.87;17;3.09;534;96.91;293;54.87;54;10.11;33;6.18;123;23.03;26;4.87;0;0;5;0.94;" 0 ";" 0 ";27/09/2009;2:43:05 PM;27/09/2009;2:43:05 PM
40900;"Bezirk Kirchdorf an der Krems        ";42932;35504;82.7;570;1.61;34934;98.39;17338;49.63;8410;24.07;2883;8.25;4923;14.09;1023;2.93;210;0.6;147;0.42;" 0 ";" 0 ";27/09/2009;7:15:21 PM;27/09/2009;7:15:21 PM
40901;"Edlbach                       ";519;466;89.79;5;1.07;461;98.93;291;63.12;90;19.52;17;3.69;39;8.46;16;3.47;3;0.65;5;1.08;" 0 ";" 0 ";27/09/2009;3:27:36 PM;27/09/2009;3:27:36 PM
40902;"Grünburg                      ";2869;2249;78.39;39;1.73;2210;98.27;1078;48.78;596;26.97;117;5.29;313;14.16;78;3.53;24;1.09;4;0.18;" 0 ";" 0 ";27/09/2009;4:14:57 PM;27/09/2009;4:14:57 PM
40903;"Hinterstoder                  ";777;653;84.04;10;1.53;643;98.47;373;58.01;97;15.09;39;6.07;117;18.2;13;2.02;0;0;4;0.62;" 0 ";" 0 ";27/09/2009;3:40:10 PM;27/09/2009;3:40:10 PM
40904;"Inzersdorf im Kremstal        ";1470;1242;84.49;20;1.61;1222;98.39;628;51.39;257;21.03;120;9.82;174;14.24;37;3.03;1;0.08;5;0.41;" 0 ";" 0 ";27/09/2009;5:27:13 PM;27/09/2009;5:27:13 PM
40905;"Kirchdorf an der Krems        ";3088;2451;79.37;38;1.55;2413;98.45;1008;41.77;722;29.92;292;12.1;318;13.18;59;2.45;8;0.33;6;0.25;" 0 ";" 0 ";27/09/2009;6:05:28 PM;27/09/2009;6:05:28 PM
40906;"Klaus an der Pyhrnbahn        ";858;750;87.41;15;2;735;98;266;36.19;321;43.67;36;4.9;97;13.2;9;1.22;2;0.27;4;0.54;" 0 ";" 0 ";27/09/2009;4:09:52 PM;27/09/2009;4:09:52 PM
40907;"Kremsmünster                  ";4709;3693;78.42;59;1.6;3634;98.4;2060;56.69;616;16.95;332;9.14;470;12.93;132;3.63;8;0.22;16;0.44;" 0 ";" 0 ";27/09/2009;4:47:42 PM;27/09/2009;4:47:42 PM
40908;"Micheldorf in Oberösterreich  ";4587;3699;80.64;75;2.03;3624;97.97;1467;40.48;1123;30.99;354;9.77;520;14.35;106;2.92;28;0.77;26;0.72;" 0 ";" 0 ";27/09/2009;7:15:21 PM;27/09/2009;7:15:21 PM
40909;"Molln                         ";2802;2415;86.19;20;0.83;2395;99.17;1038;43.34;750;31.32;174;7.27;337;14.07;59;2.46;31;1.29;6;0.25;" 0 ";" 0 ";27/09/2009;4:51:42 PM;27/09/2009;4:51:42 PM
40910;"Nußbach                       ";1815;1518;83.64;24;1.58;1494;98.42;870;58.23;272;18.21;114;7.63;176;11.78;40;2.68;14;0.94;8;0.54;" 0 ";" 0 ";27/09/2009;5:02:29 PM;27/09/2009;5:02:29 PM
40911;"Oberschlierbach               ";367;334;91.01;4;1.2;330;98.8;171;51.82;70;21.21;46;13.94;26;7.88;12;3.64;4;1.21;1;0.3;" 0 ";" 0 ";27/09/2009;2:39:01 PM;27/09/2009;2:39:01 PM
40912;"Pettenbach                    ";3765;3037;80.66;47;1.55;2990;98.45;1435;47.99;551;18.43;297;9.93;581;19.43;92;3.08;12;0.4;22;0.74;" 0 ";" 0 ";27/09/2009;6:12:46 PM;27/09/2009;6:12:46 PM
40913;"Ried im Traunkreis            ";2054;1728;84.13;37;2.14;1691;97.86;943;55.77;268;15.85;116;6.86;304;17.98;43;2.54;7;0.41;10;0.59;" 0 ";" 0 ";27/09/2009;7:14:53 PM;27/09/2009;7:14:53 PM
40914;"Rosenau am Hengstpaß          ";566;520;91.87;4;0.77;516;99.23;212;41.09;200;38.76;19;3.68;62;12.02;15;2.91;4;0.78;4;0.78;" 0 ";" 0 ";27/09/2009;5:13:45 PM;27/09/2009;5:13:45 PM
40915;"Roßleithen                    ";1473;1277;86.69;17;1.33;1260;98.67;604;47.94;372;29.52;99;7.86;138;10.95;31;2.46;12;0.95;4;0.32;" 0 ";" 0 ";27/09/2009;6:59:45 PM;27/09/2009;6:59:45 PM
40916;"St.Pankraz                    ";264;253;95.83;4;1.58;249;98.42;81;32.53;93;37.35;3;1.2;64;25.7;7;2.81;0;0;1;0.4;" 0 ";" 0 ";27/09/2009;2:23:24 PM;27/09/2009;2:23:24 PM
40917;"Schlierbach                   ";2113;1742;82.44;18;1.03;1724;98.97;879;50.99;290;16.82;247;14.33;230;13.34;54;3.13;20;1.16;4;0.23;" 0 ";" 0 ";27/09/2009;5:37:30 PM;27/09/2009;5:37:30 PM
40918;"Spital am Pyhrn               ";1741;1466;84.2;34;2.32;1432;97.68;676;47.21;489;34.15;48;3.35;180;12.57;30;2.09;6;0.42;3;0.21;" 0 ";" 0 ";27/09/2009;6:25:36 PM;27/09/2009;6:25:36 PM
40919;"Steinbach am Ziehberg         ";658;584;88.75;12;2.05;572;97.95;318;55.59;99;17.31;48;8.39;92;16.08;11;1.92;0;0;4;0.7;" 0 ";" 0 ";27/09/2009;2:27:34 PM;27/09/2009;2:27:34 PM
40920;"Steinbach an der Steyr        ";1591;1398;87.87;25;1.79;1373;98.21;790;57.54;271;19.74;78;5.68;174;12.67;50;3.64;9;0.66;1;0.07;" 0 ";" 0 ";27/09/2009;5:33:59 PM;27/09/2009;5:33:59 PM
40921;"Vorderstoder                  ";655;577;88.09;6;1.04;571;98.96;348;60.95;99;17.34;27;4.73;84;14.71;10;1.75;0;0;3;0.53;" 0 ";" 0 ";27/09/2009;4:33:23 PM;27/09/2009;4:33:23 PM
40922;"Wartberg an der Krems         ";2285;1879;82.23;26;1.38;1853;98.62;1030;55.59;328;17.7;160;8.63;259;13.98;62;3.35;11;0.59;3;0.16;" 0 ";" 0 ";27/09/2009;3:32:48 PM;27/09/2009;3:32:48 PM
40923;"Windischgarsten               ";1906;1573;82.53;31;1.97;1542;98.03;772;50.06;436;28.27;100;6.49;168;10.89;57;3.7;6;0.39;3;0.19;" 0 ";" 0 ";27/09/2009;7:02:53 PM;27/09/2009;7:02:53 PM
41000;"Bezirk Linz-Land                     ";103692;83248;80.28;1351;1.62;81897;98.38;35010;42.75;24034;29.35;7363;8.99;12659;15.46;2109;2.58;234;0.29;488;0.6;" 0 ";" 0 ";27/09/2009;8:19:08 PM;27/09/2009;11:16:20 PM
41001;"Allhaming                     ";833;758;91;11;1.45;747;98.55;407;54.48;155;20.75;60;8.03;82;10.98;34;4.55;4;0.54;5;0.67;" 0 ";" 0 ";27/09/2009;4:44:21 PM;27/09/2009;4:44:21 PM
41002;"Ansfelden                     ";11105;8487;76.43;181;2.13;8306;97.87;2883;34.71;2776;33.42;566;6.81;1779;21.42;241;2.9;17;0.2;44;0.53;" 0 ";" 0 ";27/09/2009;7:48:19 PM;27/09/2009;7:48:19 PM
41003;"Asten                         ";4668;3556;76.18;60;1.69;3496;98.31;1063;30.41;1383;39.56;188;5.38;711;20.34;109;3.12;17;0.49;25;0.72;" 0 ";" 0 ";27/09/2009;6:30:18 PM;27/09/2009;6:30:18 PM
